Пользователь: matvej
  UID   PID TTY           TIME CMD
  501   549 ??         0:00.32 /System/Library/Frameworks/InputMethodKit.framework/Resources/imklaunchagent
  501   551 ??         0:15.19 /System/Library/CoreServices/Siri.app/Contents/MacOS/Siri launchd
  501   552 ??         0:00.11 /System/Library/Image Capture/Support/icdd
  501   553 ??         0:09.19 /System/Library/CoreServices/appplaceholdersyncd
  501   554 ??         0:03.01 /System/Library/PrivateFrameworks/AskPermission.framework/Versions/A/Resources/askpermissiond
  501   557 ??         0:00.49 /System/Library/CoreServices/AirPlayUIAgent.app/Contents/MacOS/AirPlayUIAgent --launchd
  501   558 ??         3:17.11 /Applications/Utilities/Adobe Creative Cloud/ACC/Creative Cloud.app/Contents/MacOS/Creative Cloud --showwindow=false --onOSstartup=true
  501   559 ??         0:02.53 /System/Library/CoreServices/diagnostics_agent
  501   560 ??         0:05.05 /System/Library/CoreServices/TextInputMenuAgent.app/Contents/MacOS/TextInputMenuAgent
  501   562 ??         0:09.34 /System/Library/PrivateFrameworks/AppleMediaServices.framework/Resources/amsaccountsd
  501   564 ??         0:25.79 /System/Library/PrivateFrameworks/AssistantServices.framework/Versions/A/Support/assistantd
  501   565 ??         0:00.15 /System/Library/PrivateFrameworks/CoreFollowUp.framework/Versions/A/Support/followupd
  501   566 ??         0:17.92 /System/Library/PrivateFrameworks/IMDPersistence.framework/XPCServices/IMDPersistenceAgent.xpc/Contents/MacOS/IMDPersistenceAgent
  501   567 ??         0:58.22 /System/Library/PrivateFrameworks/TextInputUIMacHelper.framework/Versions/A/XPCServices/CursorUIViewService.xpc/Contents/MacOS/CursorUIViewService
  501   568 ??         0:41.66 /System/Library/Frameworks/ExtensionFoundation.framework/Versions/A/XPCServices/extensionkitservice.xpc/Contents/MacOS/extensionkitservice
  501   569 ??         0:04.35 /System/Library/CoreServices/TextInputSwitcher.app/Contents/MacOS/TextInputSwitcher
  501   570 ??         0:03.31 /System/Library/ExtensionKit/Extensions/ImageThumbnailExtension.appex/Contents/MacOS/ImageThumbnailExtension -LaunchArguments eyJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwidHlwZSI6MSwic2VydmljZU5hbWUiOiJjb20uYXBwbGUucXVpY2tsb29rLnRodW1ibmFpbC5JbWFnZUV4dGVuc2lvbiJ9
  501   571 ??         0:01.34 /System/Library/PrivateFrameworks/AppSSO.framework/Support/AppSSOAgent.app/Contents/MacOS/AppSSOAgent
  501   572 ??         2:14.27 /System/Library/CoreServices/WiFiAgent.app/Contents/MacOS/WiFiAgent
  501   573 ??         0:01.27 /System/Library/PrivateFrameworks/SoftwareUpdate.framework/Resources/SoftwareUpdateNotificationManager.app/Contents/MacOS/SoftwareUpdateNotificationManager
  501   576 ??         0:50.02 /System/Library/CoreServices/Batteries.app/Contents/PlugIns/BatteriesAvocadoWidgetExtension.appex/Contents/MacOS/BatteriesAvocadoWidgetExtension -LaunchArguments eyJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5CYXR0ZXJpZXMuQmF0dGVyaWVzQXZvY2Fkb1dpZGdldEV4dGVuc2lvbiIsInR5cGUiOjEsImVuaGFuY2VkU2VjdXJpdHkiOmZhbHNlfQ==
  501   578 ??        13:30.94 /usr/libexec/duetexpertd
  501   579 ??         0:15.96 /System/Library/PrivateFrameworks/HomeKitDaemon.framework/Support/homed
  501   580 ??         0:00.62 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/commerce
  501   581 ??         0:00.04 /System/Library/Frameworks/FamilyControls.framework/Versions/A/FamilyControlsAgent
  501   582 ??         0:00.16 /usr/libexec/frauddefensed
  501   583 ??         0:09.72 /usr/libexec/neagent
  501   584 ??         0:01.47 /usr/libexec/appleaccountd
  501   585 ??         0:05.30 /System/Library/PrivateFrameworks/iTunesCloud.framework/Support/itunescloudd
  501   586 ??         1:42.38 /usr/libexec/triald
  501   589 ??         0:00.10 /System/Library/PrivateFrameworks/TelephonyUtilities.framework/XPCServices/com.apple.FaceTime.FTConversationService.xpc/Contents/MacOS/com.apple.FaceTime.FTConversationService
  501   590 ??         0:00.53 /System/Library/PrivateFrameworks/SiriTTSService.framework/sirittsd
  501   592 ??         0:00.24 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoteagent
  501   593 ??         0:01.68 /usr/libexec/avconferenced
  501   594 ??         0:00.25 /System/Library/Frameworks/Speech.framework/Versions/A/XPCServices/localspeechrecognition.xpc/Contents/MacOS/localspeechrecognition
  501   595 ??         0:00.55 /System/Library/PrivateFrameworks/ProtectedCloudStorage.framework/Helpers/ProtectedCloudKeySyncing
  501   596 ??         0:00.01 /System/Library/PrivateFrameworks/WiFiPolicy.framework/XPCServices/WiFiCloudAssetsXPCService.xpc/Contents/MacOS/WiFiCloudAssetsXPCService
  501   598 ??         0:00.02 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/AudioConverterService.xpc/Contents/MacOS/AudioConverterService
  501   599 ??         0:00.03 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/AudioConverterHardenedService.xpc/Contents/MacOS/AudioConverterHardenedService
  501   600 ??         0:10.68 /System/Library/PrivateFrameworks/CloudTelemetry.framework/Versions/A/XPCServices/CloudTelemetryService.xpc/Contents/MacOS/CloudTelemetryService
  501   601 ??         0:03.97 /System/Applications/Calendar.app/Contents/PlugIns/CalendarWidgetExtension.appex/Contents/MacOS/CalendarWidgetExtension -LaunchArguments eyJ0eXBlIjoxLCJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5pQ2FsLkNhbGVuZGFyV2lkZ2V0RXh0ZW5zaW9uIiwiZW5oYW5jZWRTZWN1cml0eSI6ZmFsc2V9
  501   602 ??         0:14.23 /usr/libexec/searchpartyuseragent
  501   603 ??         0:00.02 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
  501   604 ??         0:00.02 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
  501   605 ??         0:00.02 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
  501   606 ??         0:00.73 /System/Library/PrivateFrameworks/CoreCDP.framework/Versions/A/Resources/cdpd
  501   607 ??         0:00.02 /System/Library/Frameworks/NetFS.framework/Versions/A/XPCServices/PlugInLibraryService.xpc/Contents/MacOS/PlugInLibraryService
  501   608 ??         0:21.76 /usr/libexec/siriknowledged
  501   609 ??         0:00.69 /System/Library/PrivateFrameworks/ContinuousDialogManagerService.framework/assistant_cdmd
  501   611 ??         0:01.66 /System/Library/PrivateFrameworks/CloudSubscriptionFeatures.framework/FeatureAccessAgent
  501   612 ??         0:02.79 /usr/libexec/swtransparencyd
  501   613 ??         0:01.89 /System/Library/PrivateFrameworks/GenerativeExperiencesRuntime.framework/Versions/A/generativeexperiencesd
  501   614 ??         0:00.91 /System/Library/PrivateFrameworks/iCloudNotification.framework/iCloudNotificationAgent
