Пользователь: matvej
  PID TTY           TIME CMD
  588 ??         0:00.83 /System/Library/PrivateFrameworks/iTunesCloud.framework/Support/itunescloudd
  589 ??         0:13.29 /usr/libexec/triald
  590 ??         0:00.47 /System/Library/PrivateFrameworks/SiriTTSService.framework/sirittsd
  591 ??         0:00.16 /System/Library/PrivateFrameworks/CoreFollowUp.framework/Versions/A/Support/followupd
  594 ??         0:00.10 /usr/libexec/frauddefensed
  595 ??         0:00.21 /System/Library/PrivateFrameworks/ContextKit.framework/Versions/A/XPCServices/ContextService.xpc/Contents/MacOS/ContextService
  597 ??         0:00.01 /System/Library/Frameworks/NetFS.framework/Versions/A/XPCServices/PlugInLibraryService.xpc/Contents/MacOS/PlugInLibraryService
  598 ??         0:00.51 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/commerce
  599 ??         0:00.62 /usr/libexec/appleaccountd
  600 ??         0:00.16 /System/Library/PrivateFrameworks/ProtectedCloudStorage.framework/Helpers/ProtectedCloudKeySyncing
  601 ??         0:00.36 /System/Library/PrivateFrameworks/ContinuousDialogManagerService.framework/assistant_cdmd
  603 ??         0:02.25 /System/Library/PrivateFrameworks/CloudTelemetry.framework/Versions/A/XPCServices/CloudTelemetryService.xpc/Contents/MacOS/CloudTelemetryService
  604 ??         0:00.41 /usr/libexec/swtransparencyd
  605 ??         0:00.41 /System/Library/PrivateFrameworks/CoreCDP.framework/Versions/A/Resources/cdpd
  606 ??         0:10.45 /usr/libexec/searchpartyuseragent
  607 ??         0:00.78 /System/Library/PrivateFrameworks/GenerativeExperiencesRuntime.framework/Versions/A/generativeexperiencesd
  608 ??         0:00.63 /System/Library/PrivateFrameworks/iCloudNotification.framework/iCloudNotificationAgent
  609 ??         0:00.22 /usr/libexec/avconferenced
  610 ??         0:00.03 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoteagent
  611 ??         0:00.24 /System/Library/Frameworks/Speech.framework/Versions/A/XPCServices/localspeechrecognition.xpc/Contents/MacOS/localspeechrecognition
  612 ??         0:00.01 /System/Library/PrivateFrameworks/WiFiPolicy.framework/XPCServices/WiFiCloudAssetsXPCService.xpc/Contents/MacOS/WiFiCloudAssetsXPCService
